model,symbol,n_test,viol,pi_hat,kupiec_p,TL,QS,width,converged
Lag-Llama,GDAXI,1843,27,0.01465002712967987,0.06061051902246817,Green,0.0004563132530416785,0.03184198678928229,1
Lag-Llama,FCHI,1856,27,0.014547413793103448,0.0652143330682664,Green,0.0004458088628865894,0.03065998567417729,1
Lag-Llama,FTSE100,1833,27,0.014729950900163666,0.057241087656079714,Green,0.0003825802764312105,0.02585893935833402,1
Lag-Llama,ICLN,1185,11,0.009282700421940928,0.8016638096754556,Green,0.0005382489153894196,0.04302023038667415,1
Lag-Llama,NIKKEI,1772,21,0.011851015801354402,0.44673078787807863,Green,0.0004891189595835486,0.03516658840376342,1
Lag-Llama,HSI,1784,22,0.01233183856502242,0.3395375912110068,Green,0.0005290141547141556,0.03583668256552303,1
Lag-Llama,BOVESPA,1794,10,0.005574136008918618,0.03979770262546589,Green,0.0004833839238665621,0.03892979517872174,1
Lag-Llama,NIFTY,1208,4,0.0033112582781456954,0.006623197319937546,Green,0.0003568642610796975,0.030967196520590504,1
Lag-Llama,ASX200,1833,30,0.016366612111292964,0.012109886655179314,Yellow,0.00037669266212369813,0.027461810346803447,1
Lag-Llama,CBU0,976,29,0.02971311475409836,5.53471821596041e-07,Yellow,0.00017681142306620433,0.009645595968270741,1
Lag-Llama,TLT,1631,23,0.014101778050275904,0.11687672659687309,Green,0.0003507919235701145,0.02355029771333256,1
Lag-Llama,IBGL,1226,13,0.010603588907014683,0.8333996385166496,Green,0.0002481021489084622,0.02132402458497808,1
Lag-Llama,DJCI,693,13,0.01875901875901876,0.038786558523273174,Yellow,0.00043953326189065216,0.02271528804672827,1
Lag-Llama,GOLD,1770,19,0.010734463276836158,0.7589170341489639,Green,0.00043551115443241,0.029340568052611128,1
Lag-Llama,WTI,1772,26,0.014672686230248307,0.06456426678905769,Green,0.0013555925791051292,0.09181638420378456,1
Lag-Llama,NATGAS,1771,27,0.015245623941276116,0.03944703006413963,Green,0.0013806803625463528,0.1033944136282826,1
Lag-Llama,BTC,1107,2,0.0018066847335140017,0.0007462012875126822,Green,0.0010843912705695228,0.1033614627044288,1
