model,symbol,pi_hat,kupiec_p,kupiec_rej,qs,width,traffic_light,gamma
Hist-Sim,TLT,0.012287887653598596,0.35875164387277547,False,4.119547002297119,0.03325074075323732,Green,0.001
Hist-Sim,IBGL,0.01532567049808429,0.07295637902591934,False,2.4471117309146435,0.020892071971547903,Green,0.001
Hist-Sim,DJCI,0.018134715025906734,0.04142492591536684,True,4.332135947837507,0.0332923779176603,Yellow,0.001
Hist-Sim,GOLD,0.012987012987012988,0.2172898446417627,False,4.538667214804838,0.03232354978707615,Green,0.001
Hist-Sim,WTI,0.014594594594594595,0.06305764753772947,False,16.212764085885826,0.11826102943218227,Green,0.001
Hist-Sim,NATGAS,0.012432432432432432,0.31101847403066896,False,18.281783414386755,0.12922048647448459,Green,0.001
Hist-Sim,BTC,0.014345991561181435,0.15805392213811287,False,9.600825097220202,0.06725119155170571,Green,0.001
Hist-Sim,ETH,0.013079667063020214,0.39143203640410706,False,13.737875939132596,0.10223331892850368,Green,0.005
Hist-Sim,EURUSD,0.012048192771084338,0.4164815159751978,False,1.6676574084476754,0.012390987271619209,Green,0.001
Hist-Sim,GBPUSD,0.013221153846153846,0.20822688825403812,False,2.11959301308473,0.015187677012861835,Green,0.001
Hist-Sim,USDJPY,0.014242115971515769,0.07553635414896775,False,2.373302296831667,0.018763830226300907,Green,0.001
Hist-Sim,AUDUSD,0.014256619144602852,0.12276247263744855,False,2.5351327610341188,0.019043453003047137,Green,0.001
EWMA,SP500,0.012092534174553101,0.37453480021221885,False,4.2901394216687505,0.03455232659577711,Green,0.001
EWMA,STOXX,0.011414077362079899,0.5809932802206319,False,4.521619687642228,0.03187297388531524,Green,0.005
EWMA,GDAXI,0.012486992715920915,0.2914449508019863,False,4.75243994415193,0.03609973734939326,Green,0.001
EWMA,CACT,0.012403100775193798,0.30581955634963653,False,4.87467138571471,0.03670923017443247,Green,0.001
EWMA,FTSE100,0.012558869701726845,0.27959248900459877,False,4.346501297756506,0.031653142331785025,Green,0.001
EWMA,ICLN,0.011084718923198733,0.7033516638498996,False,5.730344662101186,0.04428730065897793,Green,0.001
EWMA,NIKKEI,0.011345218800648298,0.5690586997989819,False,4.977046334523058,0.036805987750845835,Green,0.001
EWMA,HSI,0.011815252416756176,0.44409711846840383,False,5.06192947397491,0.036250678405492155,Green,0.001
EWMA,BOVESPA,0.012813667912439935,0.2408686232771038,False,5.1336875291029,0.03826698233867489,Green,0.001
EWMA,NIFTY,0.011655011655011656,0.5609290663102942,False,3.125478716636427,0.023670765079731388,Green,0.001
EWMA,ASX200,0.01307531380753138,0.19688517081646462,False,3.7212991204937467,0.029915614987332487,Green,0.001
EWMA,CBU0,0.011374407582938388,0.6606352030663153,False,1.4500001649157066,0.012298294632494917,Green,0.001
EWMA,TLT,0.012287887653598596,0.35875164387277547,False,3.024912535321052,0.024695765990228682,Green,0.001
EWMA,IBGL,0.010727969348659003,0.7939223788497233,False,2.338156495034854,0.020222337146311012,Green,0.005
EWMA,DJCI,0.015544041450777202,0.15218340756032478,False,3.1030143048882137,0.02476237102536566,Green,0.001
EWMA,GOLD,0.012445887445887446,0.3087038251981542,False,4.248502852812582,0.02991279739357636,Green,0.001
EWMA,WTI,0.011891891891891892,0.4271175368964937,False,11.951272544155918,0.08631940336846441,Green,0.001
EWMA,NATGAS,0.011891891891891892,0.4271175368964937,False,14.32968990217381,0.11091243984458084,Green,0.001
EWMA,BTC,0.015189873417721518,0.09533639810531203,False,8.7525623515394,0.0673076997937006,Green,0.001
EWMA,ETH,0.015457788347205707,0.14081082820840585,False,13.435805964821414,0.10494259756694517,Green,0.001
EWMA,EURUSD,0.012650602409638554,0.29717683358548774,False,1.5505773196792625,0.012089742613160696,Green,0.001
EWMA,GBPUSD,0.01141826923076923,0.5696280762766963,False,1.9355892347096486,0.014579922691149149,Green,0.001
EWMA,USDJPY,0.011698880976602238,0.4609827225645565,False,2.0262620815597234,0.014624300364948599,Green,0.001
EWMA,AUDUSD,0.011541072640868975,0.5617650950058914,False,2.1552790060767046,0.016205933132623525,Green,0.001
