alpha,model,symbol,n_cal,n_test,qV,pihat_raw,pihat_cp,viol_raw,viol_cp,p_kup_raw,p_kup_cp,p_cc_raw,p_cc_cp,TL_raw,TL_cp,QS_raw,QS_cp,VaR_width,raw_width
0.01,Chronos-Mini,FCHI,4330,1856,0.0378795796003128,0.4110991379310345,0.0086206896551724,763,16,0.0,0.54076439432748,0.1067659575209311,0.0243836472433275,Red,Green,0.0033860928628827,0.0005254918650329,0.03912499722197,0.0012454176216571966
0.025,Chronos-Mini,FCHI,4330,1856,0.0276203204841308,0.4164870689655172,0.0193965517241379,773,36,0.0,0.1077130510754931,0.1256331012451474,0.0183132305801353,Red,Yellow,0.0034617420898386,0.0009997040271985,0.028663011923816,0.0010426914396851998
0.05,Chronos-Mini,FCHI,4330,1856,0.0203408690409135,0.4256465517241379,0.0290948275862068,790,54,0.0,7.86809089903251e-06,0.1469905740888328,0.0036322453202628,Red,Yellow,0.0035551141816367,0.0015309629966569,0.0212257722792595,0.000884903238346002
0.1,Chronos-Mini,FCHI,4330,1856,0.0141381299648863,0.4445043103448275,0.0668103448275862,825,124,0.0,4.604468301083742e-07,0.471538940742653,7.377108475892236e-05,Red,Red,0.0037093208341387,0.0022641599199683,0.0147426684982748,0.0006045385333885
0.01,Chronos-Mini,FTSE100,4275,1833,0.0307402927854319,0.4031642116748499,0.011456628477905,739,21,0.0,0.5401659942376459,0.8092504109045786,0.0055429947538615,Red,Green,0.002768697427945,0.0004624447406469,0.0318041781475083,0.0010638853620764006
0.025,Chronos-Mini,FTSE100,4275,1833,0.0226423096015035,0.4140752864157119,0.0207310420076377,759,38,0.0,0.2279359752614455,0.844268284640078,0.0039811422859106,Red,Yellow,0.0028226290157845,0.0008596261420865,0.0235395299599243,0.0008972203584208006
0.05,Chronos-Mini,FTSE100,4275,1833,0.0162512377234852,0.4195308237861429,0.0343698854337152,769,63,0.0,0.0011690162536829,0.8754178836551294,0.0228777961067807,Red,Yellow,0.0028952560236584,0.0013057422089685,0.0170197168157061,0.0007684790922209
0.1,Chronos-Mini,FTSE100,4275,1833,0.0110830430508838,0.4369885433715221,0.0709219858156028,801,130,0.0,1.3275592319450524e-05,0.8600427612868242,0.0001321218076055,Red,Red,0.0030161203566235,0.0019044621969989,0.0116325268165757,0.0005494837656919004
0.01,Chronos-Mini,ICLN,2762,1185,0.0427031845339616,0.4227848101265822,0.0067510548523206,501,8,0.0,0.2323463492296394,0.0860417247629146,0.947032196023167,Red,Green,0.0047915522160372,0.0005180008241671,0.0464952434339525,0.0037920588999908952
0.025,Chronos-Mini,ICLN,2762,1185,0.0324717244968688,0.4278481012658228,0.0160337552742616,507,19,0.0,0.0345235637380334,0.1403088431011615,0.7335313200246057,Red,Yellow,0.0049495554698861,0.0010543119035104,0.0360055025451345,0.0035337780482656983
