model,symbol,n_test,viol,pi_hat,kupiec_p,TL,QS,width
GJR-GARCH,GBPUSD,1664,21,0.012620192307692308,0.30196507593637756,Green,0.0001956338128817948,0.013315975197770698
GJR-GARCH,USDJPY,1966,22,0.011190233977619531,0.6027331619968641,Green,0.00020109458920134561,0.013760055829323404
GJR-GARCH,AUDUSD,1473,21,0.014256619144602852,0.12276247263744855,Green,0.00021084078554015626,0.014568397306059237
GARCH-N,SP500,1902,29,0.015247108307045216,0.03277171273501722,Green,0.0004425831879143886,0.027651063919029453
GARCH-N,STOXX,1577,29,0.018389346861128725,0.0027216857967459207,Yellow,0.0004466827539181218,0.024276497565460787
GARCH-N,GDAXI,1922,38,0.019771071800208116,0.0001454503176245847,Yellow,0.0004574501740702412,0.028180356342815707
GARCH-N,FCHI,1935,49,0.025322997416020673,1.3796182196657014e-08,Yellow,0.0005057374163736065,0.02436617774576184
GARCH-N,FTSE100,1911,31,0.016221873364730507,0.012149231707935026,Yellow,0.00038648369309917215,0.022665552846209205
GARCH-N,ICLN,1263,19,0.015043547110055424,0.09365847768064772,Green,0.0005292984597521791,0.03618128631185031
GARCH-N,NIKKEI,1851,17,0.009184224743381956,0.7205991937992329,Green,0.0004985729749429107,0.03581975684503969
GARCH-N,HSI,1862,30,0.01611170784103115,0.014901592712904699,Yellow,0.0005293432801178898,0.03340650874048112
GARCH-N,BOVESPA,1873,25,0.013347570742124934,0.1660010753686212,Green,0.0005302700150933809,0.03379287486640187
GARCH-N,NIFTY,1287,12,0.009324009324009324,0.8052720585730028,Green,0.00031363578793932955,0.022242238661467965
GARCH-N,ASX200,1912,54,0.028242677824267783,5.4248938674561487e-11,Yellow,0.0003878695111174126,0.020750288004332547
GARCH-N,CBU0,1055,49,0.046445497630331754,0.0,Red,0.00020749001519049955,0.007992129447176576
GARCH-N,TLT,1709,41,0.02399063779988297,8.347523404728108e-07,Yellow,0.00031659243392534925,0.01987626816703327
GARCH-N,IBGL,1305,18,0.013793103448275862,0.19281188847186514,Green,0.00024459787184039517,0.019170037518094728
GARCH-N,DJCI,772,13,0.01683937823834197,0.08193621665816764,Yellow,0.0003522614511955032,0.02283835537335513
GARCH-N,GOLD,1848,24,0.012987012987012988,0.2172898446417627,Green,0.00042928938658671356,0.02659348314567765
GARCH-N,WTI,1850,37,0.02,0.00014162607791678994,Yellow,0.0012594784661394273,0.05758998676625103
GARCH-N,NATGAS,1850,61,0.032972972972972976,4.3298697960381105e-15,Yellow,0.0019228868268177796,0.0763810481640922
GARCH-N,BTC,1185,1,0.0008438818565400844,4.033874151820882e-05,Green,0.0011351248895078176,0.10856851022106606
GARCH-N,ETH,841,21,0.02497027348394768,0.00024558317783596184,Yellow,0.001347175613627557,0.08428052730705758
GARCH-N,EURUSD,1660,21,0.012650602409638554,0.29717683358548774,Green,0.00015158569271065504,0.011134747637512167
GARCH-N,GBPUSD,1664,17,0.010216346153846154,0.9295721963821353,Green,0.00019209339006333773,0.013976895233670999
GARCH-N,USDJPY,1966,27,0.013733468972533061,0.11535681665056352,Green,0.00020765083222729509,0.013486205398662592
GARCH-N,AUDUSD,1473,14,0.009504412763068567,0.8471474790146846,Green,0.00020766189926509998,0.01564218114002663
Hist-Sim,SP500,1902,24,0.012618296529968454,0.2701085678209997,Green,0.00045512701942033935,0.02816536696001191
Hist-Sim,STOXX,1577,51,0.032339885859226376,1.4911405443740477e-12,Yellow,0.0005059666660695829,0.021450188743286466
Hist-Sim,GDAXI,1922,37,0.019250780437044746,0.0002993939592590422,Yellow,0.00046471298461460257,0.02769053034899272
Hist-Sim,FCHI,1935,34,0.01757105943152455,0.00249841446868293,Yellow,0.0004789952775996387,0.027151525012882885
Hist-Sim,FTSE100,1911,28,0.014652014652014652,0.05595373799650449,Green,0.0003997807206521834,0.023895486058007617
Hist-Sim,ICLN,1263,20,0.01583531274742676,0.05474553211084754,Green,0.0005467994891166749,0.036653834477632305
Hist-Sim,NIKKEI,1851,15,0.008103727714748784,0.3965078913798996,Green,0.0004896350011607854,0.03580151895144295
